SampleID	Site	Keep	Original_Sample_Name	Owner	Sample_date_Month_Year	Description	Detailed_Description	Country_class	LandUse	Original_Region	Island	Region	SoilOrder	Soil_Subgroup	Lat	Long	Rainfall	Rainfall_unit	pH	pH_details	Resin_P	Resin_P_Units	Olsen_P	Olsen_P_Units	K	K_Units	Ca	Ca_Units	Mg	Mg_Units	Na	Na_Units	CEC	CEC_Units	Total_Base_Saturation	TBS_Units	Sulfate	Sulfate_Unit	Soil_water_content	Soil_water_content_Units	NO3_N	NO3_unit	NO4_N 	NO4_unit	Total_nitrogen 	Total_nitrogen_Unit	Total_carbon 	Total_carbon_unit	Olsen_P	Olsen_P_Unit	DEA 	DEA_Units	DR 	DR_Units	N2O 	N2O_Units	N2 	N2_Unit	N2O_slash_N2OplusN2	Soluble_C 	Soluble_C_Unit	MBC 	MBC_Unit	N2O_N20_N2_50	N2O_NO_N20_N2_50	Max_N2O_N2O_N2	Max_N2O_NO_N2O_N2	Max_N2O	Max_NO	16S_quantity	NozI 	NirS	NifH	NirK	NosZII	NozI_percent	NirS_percent	NirK_percent	NosZII_percent	NifH_percent	NehaCode	NirK_Phylotype_Number	NirS_Phylotype_Number	NirK_Plus_NirS	NosZ_Phylotype_Number	diversity_nirK_1	eveness_nirK_1	diversity_nirS_1	Evenness_nirS_1	diversity_nosZ_1	eveness_nosZ_1	rpoB_gene_copies 	rpoB_Gene_Copies_Unit	nirK_gene_copies 	nirK_Gene_Copies_Unit 	nirS_Gene_Copies 	nirS_Gene_Copies_Unit	nirS_Plus_K_gene_copies	nirS_Plus_K_gene_copies_Unit	Nosz_Gene_Copies 	Nosz_Gene_Copies_Unit	Anion_Storage_Capacity	Anion_Storage_Capacity_Unit	Extractable_Organic_Sulphur	Extractable_Organic_Sulphur_Unit	Anaerobically_Mineralisable_N	Anaerobically_Mineralisable_N_Unit	AMN_Over_TN	AMN_Over_TN_Unit	Total_Sulphur	Total_Sulphur_unit
10TM		Yes	Tokomariro	Sainur	May-14				Dairy	Otago	South Island	Otago	Pallic	Perch-GleyPallic	-46.3	169.7333333	2.1090411		6.13	in water																				%		NO3+N	NO4+N																					0.284227054	0.284138382	0.565	0.560510879	18.92344214	0.416043515	8224042	69295	36416	509222	13215	29225	0.84	0.44	0.16	0.36	6.19																															
11TM		Yes	Tokomariro	Sainur	May-14				Dairy	Otago	South Island	Otago	Pallic	Perch-GleyPallic	-46.3	169.7333333	2.1090411		6.13	in water																																												0.458169706	0.457893581	0.663	0.630769701	19.59584903	0.417205186	8518680	73596	14968	573309	18391	40023	0.86	0.18	0.22	0.47	6.73																															
12TM		Yes	Tokomariro	Sainur	May-14				Dairy	Otago	South Island	Otago	Pallic	Perch-GleyPallic	-46.3	169.7333333	2.1090411		6.13	in water																																												0.440964805	0.44068627	0.633	0.659584067	17.79842543	0.439079675	7244312	64784	49432	619726	14529	56818	0.89	0.68	0.2	0.78	8.55																															
13MF		Yes	Mayfield	Sainur	May-14				Other	Mid Canterbury	South Island	Canterbury	Brown	PallicFirm Brown	-43.8	171.7666667	3.16954023		6.1	in water																																												0.773875757	0.766467606	0.792	0.755503029	35.14109671	1.811457798	2232903	331	0	93	12325	56567	0.01	0	0.55	2.53	0																															
14MF		Yes	Mayfield	Sainur	May-14				Other	Mid Canterbury	South Island	Canterbury	Brown	PallicFirm Brown	-43.8	171.7666667	3.16954023		6.1	in water																																												0.718776645	0.715605953	0.772	0.752804004	31.63102117	1.829211943	5888975	2874	0	9020	10503	49497	0.05	0	0.18	0.84	0.15																															
15MF		Yes	Mayfield	Sainur	May-14				Other	Mid Canterbury	South Island	Canterbury	Brown	PallicFirm Brown	-43.8	171.7666667	3.16954023		6.1	in water																																												0.626555463	0.625628454	0.773	0.776202389	27.8279725	1.987526984	5625448	7005	0	18945	10490	53310	0.12	0	0.19	0.95	0.34																															
16LM		Yes	Lismore	Sainur	May-14				Dairy	Mid Canterbury	South Island	Canterbury	Brown	PallicFirm Brown	-43.78333333	171.7666667	3.16954023		5.75	in water																																												0.903588965	0.792636185	0.904	0.703363563	38.24854511	7.75463453	85171	0	0	0	7181	11641	0	0	8.43	13.67	0																															
17LM		Yes	Lismore	Sainur	May-14				Dairy	Mid Canterbury	South Island	Canterbury	Brown	PallicFirm Brown	-43.78333333	171.7666667	3.16954023		5.75	in water																																												0.896853899	0.791975257	0.897	0.791975257	38.16096088	8.141462964	2829353	821	0	1426	8655	20475	0.03	0	0.31	0.72	0.05																															
18LM		Yes	Lismore	Sainur	May-14				Dairy	Mid Canterbury	South Island	Canterbury	Brown	PallicFirm Brown	-43.78333333	171.7666667	3.16954023		5.75	in water																																												0.878122049	0.703363563	0.878	0.792636185	38.16423737	9.296210345	1056722	33	0	78	9815	15706	0	0	0.93	1.49	0.01																															
19TM		Yes	Templeton	Sainur	May-14			Low Country	Other	Mid Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.61666667	172.4166667	2.65287671		6.36	in water																																												0.220043066	0.219537888	0.32	0.287472566	2.627928271	0.093464129	5497585	21349	967	80477	9282	148489	0.39	0.02	0.17	2.7	1.46																															
